Bins,Contribution,accum
-3.24,42,99.31004615
-3.23,44,99.30818911
-3.22,36,99.30624365
-3.21,17,99.30465191
-3.20,37,99.30390025
-3.19,48,99.3022643
-3.18,25,99.30014197
-3.17,27,99.2990366
-3.16,37,99.29784279
-3.15,37,99.29620683
-3.14,30,99.29457088
-3.13,35,99.29324443
-3.12,40,99.2916969
-3.11,55,99.2899283
-3.10,49,99.28749647
-3.09,57,99.28532993
-3.08,42,99.28280967
-3.07,48,99.28095264
-3.06,36,99.27883032
-3.05,54,99.27723858
-3.04,16,99.27485096
-3.03,59,99.27414352
-3.02,48,99.27153483
-3.01,37,99.26941251
-3.00,62,99.26777655
-2.99,31,99.26503522
-2.98,55,99.26366455
-2.97,40,99.26123272
-2.96,53,99.25946412
-2.95,64,99.25712072
-2.94,71,99.25429096
-2.93,61,99.25115169
-2.92,61,99.24845457
-2.91,39,99.24575745
-2.90,42,99.24403307
-2.89,59,99.24217604
-2.88,57,99.23956735
-2.87,62,99.23704709
-2.86,62,99.23430576
-2.85,47,99.23156442
-2.84,48,99.22948631
-2.83,63,99.22736399
-2.82,43,99.22457844
-2.81,60,99.2226772
-2.80,73,99.22002429
-2.79,60,99.21679659
-2.78,86,99.21414369
-2.77,68,99.21034119
-2.76,70,99.20733457
-2.75,55,99.20423952
-2.74,59,99.20180769
-2.73,58,99.199199
-2.72,54,99.19663453
-2.71,55,99.19424691
-2.70,54,99.19181509
-2.69,94,99.18942747
-2.68,70,99.18527126
-2.67,71,99.1821762
-2.66,66,99.17903693
-2.65,78,99.17611874
-2.64,74,99.17266997
-2.63,73,99.16939805
-2.62,71,99.16617035
-2.61,63,99.16303108
-2.60,69,99.16024554
-2.59,59,99.1571947
-2.58,67,99.15458601
-2.57,82,99.1516236
-2.56,81,99.14799796
-2.55,116,99.14441654
-2.54,101,99.1392876
-2.53,90,99.13482188
-2.52,55,99.13084252
-2.51,89,99.12841069
-2.50,107,99.12447555
-2.49,105,99.11974454
-2.48,106,99.11510196
-2.47,61,99.11041517
-2.46,106,99.10771805
-2.45,73,99.10303125
-2.44,112,99.09980355
-2.43,103,99.09485147
-2.42,121,99.09029732
-2.41,98,99.08494729
-2.40,74,99.08061422
-2.39,133,99.0773423
-2.38,136,99.0714617
-2.37,127,99.06544845
-2.36,99,99.05983314
-2.35,90,99.05545585
-2.34,90,99.0514765
-2.33,129,99.04749714
-2.32,120,99.0417934
-2.31,117,99.03648759
-2.30,141,99.03131443
-2.29,107,99.02508011
-2.28,105,99.0203491
-2.27,113,99.01570651
-2.26,154,99.01071021
-2.25,150,99.00390109
-2.24,131,98.99726884
-2.23,148,98.99147666
-2.22,131,98.98493284
-2.21,149,98.97914066
-2.20,134,98.97255262
-2.19,169,98.9666278
-2.18,128,98.95915546
-2.17,180,98.95349593
-2.16,158,98.94553722
-2.15,143,98.93855124
-2.14,156,98.93222849
-2.13,163,98.92533094
-2.12,143,98.91812388
-2.11,138,98.91180113
-2.10,169,98.90569945
-2.09,154,98.89822711
-2.08,162,98.89141799
-2.07,178,98.88425515
-2.06,181,98.87638487
-2.05,183,98.86838195
-2.04,211,98.86029059
-2.03,217,98.85096121
-2.02,160,98.84136655
-2.01,178,98.83429214
-2.00,186,98.82642186
-1.99,218,98.81819786
-1.98,178,98.80855897
-1.97,250,98.80068869
-1.96,239,98.78963493
-1.95,191,98.77906753
-1.94,213,98.77062246
-1.93,213,98.76120465
-1.92,218,98.75178684
-1.91,239,98.74214796
-1.90,188,98.73158056
-1.89,185,98.72326813
-1.88,194,98.71508834
-1.87,250,98.70651062
-1.86,214,98.69545686
-1.85,239,98.68599484
-1.84,222,98.67542744
-1.83,227,98.6656117
-1.82,272,98.65557488
-1.81,268,98.64354838
-1.80,367,98.63169875
-1.79,298,98.61547182
-1.78,281,98.60229573
-1.77,265,98.5898713
-1.76,280,98.57815431
-1.75,295,98.5657741
-1.74,336,98.55273066
-1.73,280,98.5378744
-1.72,287,98.52549418
-1.71,345,98.51280446
-1.70,330,98.49755026
-1.69,316,98.4829593
-1.68,358,98.46898734
-1.67,310,98.45315835
-1.66,279,98.43945168
-1.65,377,98.42711568
-1.64,371,98.4104466
-1.63,420,98.39404282
-1.62,405,98.37547249
-1.61,402,98.3575654
-1.60,349,98.33979094
-1.59,399,98.32435989
-1.58,395,98.30671808
-1.57,409,98.28925313
-1.56,421,98.27116917
-1.55,364,98.25255464
-1.54,408,98.23646035
-1.53,367,98.21842061
-1.52,348,98.20219369
-1.51,444,98.18680685
-1.50,431,98.16717536
-1.49,634,98.14811867
-1.48,488,98.12008633
-1.47,429,98.09850938
-1.46,713,98.07954112
-1.45,415,98.04801578
-1.44,447,98.02966653
-1.43,536,98.0099024
-1.42,505,97.98620313
-1.41,468,97.96387453
-1.40,505,97.94318188
-1.39,581,97.92085328
-1.38,570,97.89516433
-1.37,601,97.86996175
-1.36,486,97.8433885
-1.35,557,97.82189998
-1.34,765,97.7972722
-1.33,632,97.76344768
-1.32,568,97.73550376
-1.31,532,97.71038961
-1.30,690,97.6868672
-1.29,678,97.65635881
-1.28,633,97.626381
